task_id,item_id,position,human_label,verdict
kind,9e0f70129d4701e8d19e2b5874738256,1,Business and clients,label
kind,6c458b8e512de771002ff96fa1ffd3f8,2,Business and clients,label
kind,74884de303fe49bd64a05d6b48a215e3,3,Creative and media,label
kind,e4e6d9377e97db31917dc6dc829ac535,4,Health and fitness,label
kind,69def0d236e629f31144c23387215003,5,Business and clients,label
kind,0950ea40b2541bae9a97a425a97b7bd1,6,AI and chatbots,label
kind,113a58d0f1735a6db574e3e6360af68e,7,Pets and animals,label
kind,686ec2b0c1671e85ce5d9503b607f868,8,Utilities and converters,label
kind,baa1ca00eea6e0e253b161bb6ccfe6f4,9,Money and admin,label
kind,1a1bba05fc887096b26343ab8154e581,10,Food and drink,label
kind,8666a1cfa8c43876f3a8061f04ac26ec,11,Utilities and converters,label
kind,ac89c3b6787eaaca73f2648950b4f6b3,12,Planning and productivity,label
kind,12a3ffb6cbeb23ede78fbc1fa4a3d5bf,13,Site and portfolio,label
kind,60209e0f6fb4bc7b868ca9f3cb18cb5e,14,Travel and hospitality,label
kind,4317ea88de8518c94161e9d90a46a393,15,Beauty and fashion,label
kind,f99bfeecbeec93a07f67820c1e15ecca,16,Site and portfolio,label
kind,b67e0007043be90f5e624b71252185be,17,Community and events,label
kind,abfc1bcb06a6020bac6bbd75de129ac2,18,Property and home,label
kind,7e43da3bc237004c0709839554b0b7a2,19,Health and fitness,label
kind,538d10ead885d6b5d7bb9ae505b9874f,20,Health and fitness,label
kind,a0e3a7078f9aaf25900c98f38d8ab3a6,21,Learning and study,label
kind,7cc8ed5cdd1bbaf25c40f912cf114c93,22,Site and portfolio,label
kind,186cf23d48ac1a97127387b3d92e5521,23,Planning and productivity,label
kind,759fa1b92a49a3108baa0b2d2e34b783,24,Jobs and careers,label
kind,f6f31af4c0b6922e5c3a4d1f4bed0a5d,25,AI and chatbots,label
kind,3947ea42e104e52bfcd5f525244331d2,26,Trackers and dashboards,label
kind,ad6cd24bf420cc086da599562705cd8a,27,Health and fitness,label
kind,353cb5e002458ff5f02529cac06ec0f6,28,Learning and study,label
kind,573ff93048b85607a59c05419bb3659f,29,Health and fitness,label
kind,593a7103717b0a34401efd6af261b2ea,30,AI and chatbots,label
kind,cb7a17d14a85128997ceecf267ca597f,31,Community and events,label
kind,94b42e7bd13f630d056b56b42c4745fb,32,Games and toys,label
kind,ddf863429782a3e48fab892957d33cc5,33,Community and events,label
kind,6b4be8ecad233754393ae7fdb15bf9fe,34,Cannot tell,label
kind,cc5dce7c5492a55f49299daf87d17d0c,35,Business and clients,label
kind,82ccc3243ba5d8d6718ed079b553b2d2,36,Shop and commerce,label
kind,9f8d68b6eb22687a95f2f0da0b918a4f,37,Shop and commerce,label
kind,5437113d04630931411fd0ad1b4ac0a0,38,Site and portfolio,label
kind,07816fa6bd9747ab6391bd55a14198f1,39,Business and clients,label
kind,5430488a622d884067e4431396647fc2,40,Health and fitness,label
