task,model,prompt_version,split,n,agree,agreement,wilson_lo,wilson_hi,kappa,n_firm,agree_firm,agreement_firm,missing,usd,mean_dev_agreement,min_fold_agreement,passes,accepted
audience,claude-sonnet-5,1,dev fold 0,10,4,0.4,0.16817758120350967,0.6873304525498135,0.11764705882352937,8,2,0.25,0,,,,,
audience,claude-sonnet-5,1,dev fold 1,10,5,0.5,0.23658959361548731,0.7634104063845126,0.09090909090909088,5,1,0.2,0,,,,,
audience,claude-sonnet-5,1,dev fold 2,10,6,0.6,0.3126695474501864,0.8318224187964902,0.19999999999999996,5,1,0.2,0,,,,,
audience,claude-sonnet-5,1,dev fold 3,10,5,0.5,0.23658959361548731,0.7634104063845126,0.09090909090909088,5,1,0.2,0,,,,,
audience,claude-sonnet-5,1,working 40 pooled,40,20,0.5,0.35199278797099753,0.6480072120290025,0.1397849462365592,23,5,0.21739130434782608,0,0.0794,0.5,0.4,False,
audience,claude-sonnet-5,2,dev fold 0,10,8,0.8,0.49015684672072335,0.9433190520193067,0.5454545454545455,8,6,0.75,0,,,,,
audience,claude-sonnet-5,2,dev fold 1,10,8,0.8,0.49015684672072335,0.9433190520193067,0.6551724137931034,5,3,0.6,0,,,,,
audience,claude-sonnet-5,2,dev fold 2,10,6,0.6,0.3126695474501864,0.8318224187964902,0.27272727272727276,5,2,0.4,0,,,,,
audience,claude-sonnet-5,2,dev fold 3,10,7,0.7,0.39677321997956516,0.892210712513788,0.3999999999999999,5,2,0.4,0,,,,,
audience,claude-sonnet-5,2,working 40 pooled,40,29,0.725,0.5716474916687543,0.8389214656685692,0.522258414766558,23,13,0.5652173913043478,0,0.1059,0.725,0.6,False,
audience,claude-sonnet-5,3,dev fold 0,10,9,0.9,0.5958436145024278,0.9821242504842788,0.7368421052631581,8,7,0.875,0,,,,,
audience,claude-sonnet-5,3,dev fold 1,10,8,0.8,0.49015684672072335,0.9433190520193067,0.6551724137931034,5,3,0.6,0,,,,,
audience,claude-sonnet-5,3,dev fold 2,10,7,0.7,0.39677321997956516,0.892210712513788,0.3999999999999999,5,2,0.4,0,,,,,
audience,claude-sonnet-5,3,dev fold 3,10,7,0.7,0.39677321997956516,0.892210712513788,0.3999999999999999,5,2,0.4,0,,,,,
audience,claude-sonnet-5,3,working 40 pooled,40,31,0.775,0.6249660359590695,0.8768404674532148,0.6008869179600888,23,14,0.6086956521739131,0,0.1464,0.775,0.7,False,
audience,claude-sonnet-5,3,sealed 10 (selected version),10,5,0.5,0.23658959361548731,0.7634104063845126,0.21875000000000003,7,2,0.2857142857142857,0,,,,,"best available below the bar (D23): v1 0.50, v2 0.725, v3 0.775 mean dev agreement; v3 min fold 0.70"
kind,claude-sonnet-5,0,dev fold 0,10,5,0.5,0.23658959361548731,0.7634104063845126,0.41860465116279066,10,5,0.5,0,,,,,
kind,claude-sonnet-5,0,dev fold 1,10,7,0.7,0.39677321997956516,0.892210712513788,0.6629213483146067,10,7,0.7,0,,,,,
kind,claude-sonnet-5,0,dev fold 2,10,8,0.8,0.49015684672072335,0.9433190520193067,0.7701149425287357,10,8,0.8,0,,,,,
kind,claude-sonnet-5,0,dev fold 3,9,4,0.4444444444444444,0.188775429471914,0.7333526542559703,0.375,8,3,0.375,1,,,,,
kind,claude-sonnet-5,0,working 40 pooled,39,24,0.6153846153846154,0.45898781310078474,0.7510883745299295,0.586864406779661,38,23,0.6052631578947368,1,0.0000,0.6111111111111112,0.4444444444444444,False,
kind,claude-sonnet-5,1,dev fold 0,10,5,0.5,0.23658959361548731,0.7634104063845126,0.42528735632183906,10,5,0.5,0,,,,,
kind,claude-sonnet-5,1,dev fold 1,10,7,0.7,0.39677321997956516,0.892210712513788,0.6551724137931034,10,7,0.7,0,,,,,
kind,claude-sonnet-5,1,dev fold 2,10,7,0.7,0.39677321997956516,0.892210712513788,0.6590909090909091,10,7,0.7,0,,,,,
kind,claude-sonnet-5,1,dev fold 3,10,2,0.2,0.056680947980693314,0.5098431532792765,0.14893617021276598,9,1,0.1111111111111111,0,,,,,
kind,claude-sonnet-5,1,working 40 pooled,40,21,0.525,0.37497106853929735,0.6706477044981831,0.4895903290799194,39,20,0.5128205128205128,0,0.1057,0.525,0.2,False,
kind,claude-sonnet-5,2,dev fold 0,10,7,0.7,0.39677321997956516,0.892210712513788,0.6511627906976744,10,7,0.7,0,,,,,
kind,claude-sonnet-5,2,dev fold 1,10,8,0.8,0.49015684672072335,0.9433190520193067,0.7727272727272728,10,8,0.8,0,,,,,
kind,claude-sonnet-5,2,dev fold 2,10,9,0.9,0.5958436145024278,0.9821242504842788,0.8809523809523809,10,9,0.9,0,,,,,
kind,claude-sonnet-5,2,dev fold 3,10,5,0.5,0.23658959361548731,0.7634104063845126,0.42528735632183906,9,4,0.4444444444444444,0,,,,,
kind,claude-sonnet-5,2,working 40 pooled,40,29,0.725,0.5716474916687543,0.8389214656685692,0.7043010752688172,39,28,0.717948717948718,0,0.2082,0.725,0.5,False,
kind,claude-sonnet-5,3,dev fold 0,10,7,0.7,0.39677321997956516,0.892210712513788,0.6511627906976744,10,7,0.7,0,,,,,
kind,claude-sonnet-5,3,dev fold 1,10,8,0.8,0.49015684672072335,0.9433190520193067,0.7727272727272728,10,8,0.8,0,,,,,
kind,claude-sonnet-5,3,dev fold 2,10,10,1.0,0.7224598312333834,1.0,1.0,10,10,1.0,0,,,,,
kind,claude-sonnet-5,3,dev fold 3,10,6,0.6,0.3126695474501864,0.8318224187964902,0.5402298850574713,9,5,0.5555555555555556,0,,,,,
kind,claude-sonnet-5,3,working 40 pooled,40,31,0.775,0.6249660359590695,0.8768404674532148,0.757085020242915,39,30,0.7692307692307693,0,0.2691,0.775,0.6,False,
kind,claude-sonnet-5,3,sealed 10 (selected version),10,3,0.3,0.10778928748621183,0.6032267800204347,0.2134831460674157,9,2,0.2222222222222222,0,,,,,"best available below the bar (D23): v0 0.60 (Sonnet 5 full run) and 0.375 (gpt-4.1-mini full run), v1 0.525, v2 0.725, v3 0.775 mean dev agreement; v3 min fold 0.60"
kind,gpt-4.1-mini,0,dev fold 0,10,3,0.3,0.10778928748621183,0.6032267800204347,0.2553191489361702,10,3,0.3,0,,,,,
kind,gpt-4.1-mini,0,dev fold 1,10,5,0.5,0.23658959361548731,0.7634104063845126,0.45054945054945056,10,5,0.5,0,,,,,
