position,repo_id,repo_slug,stratum_cell
1,9e0f70129d4701e8d19e2b5874738256,vlads.digital,Unclassified
2,6c458b8e512de771002ff96fa1ffd3f8,pixel-perfect-flow,Creative and media
3,74884de303fe49bd64a05d6b48a215e3,rohlik-group-vendor-hub,Community and events
4,e4e6d9377e97db31917dc6dc829ac535,fit-studio-genesis,Creative and media
5,69def0d236e629f31144c23387215003,hrms,Business and clients
6,0950ea40b2541bae9a97a425a97b7bd1,vonkam-automations,Unclassified
7,113a58d0f1735a6db574e3e6360af68e,spinnenfluesterer,Unclassified
8,686ec2b0c1671e85ce5d9503b607f868,hazeapp,Unclassified
9,baa1ca00eea6e0e253b161bb6ccfe6f4,finance-flow-smart-plan,Money and admin
10,1a1bba05fc887096b26343ab8154e581,fujaursopastelaria,Unclassified
11,8666a1cfa8c43876f3a8061f04ac26ec,hello-world-creator-c28d61e7,Unclassified
12,ac89c3b6787eaaca73f2648950b4f6b3,the5am,Unclassified
13,12a3ffb6cbeb23ede78fbc1fa4a3d5bf,pixel-perfect-portfolio-main,Creative and media
14,60209e0f6fb4bc7b868ca9f3cb18cb5e,nantes-spot,Unclassified
15,4317ea88de8518c94161e9d90a46a393,sika,Unclassified
16,f99bfeecbeec93a07f67820c1e15ecca,portfolio,Site and portfolio
17,b67e0007043be90f5e624b71252185be,sarafoundation,Unclassified
18,abfc1bcb06a6020bac6bbd75de129ac2,rehman,Unclassified
19,7e43da3bc237004c0709839554b0b7a2,snore-detective-pro,Unclassified
20,538d10ead885d6b5d7bb9ae505b9874f,ai-fitness-and-wellness-app,Health and fitness
21,a0e3a7078f9aaf25900c98f38d8ab3a6,campus-connect-hub,Learning and study
22,7cc8ed5cdd1bbaf25c40f912cf114c93,stylish-portfolio-ground,Site and portfolio
23,186cf23d48ac1a97127387b3d92e5521,remix-of-extrahand-task-flow,Planning and productivity
24,759fa1b92a49a3108baa0b2d2e34b783,kingdomnannies,Unclassified
25,f6f31af4c0b6922e5c3a4d1f4bed0a5d,lingua-assist,Unclassified
26,3947ea42e104e52bfcd5f525244331d2,talky-insight-viz,Trackers and dashboards
27,ad6cd24bf420cc086da599562705cd8a,release-your-calm,Unclassified
28,353cb5e002458ff5f02529cac06ec0f6,examsnap-ai,AI and chatbots
29,573ff93048b85607a59c05419bb3659f,superimune,Unclassified
30,593a7103717b0a34401efd6af261b2ea,delton-chatbot-v2,AI and chatbots
31,cb7a17d14a85128997ceecf267ca597f,grand-moments-booking,Shop and commerce
32,94b42e7bd13f630d056b56b42c4745fb,mood-weaver,Unclassified
33,ddf863429782a3e48fab892957d33cc5,chatapp,Unclassified
34,6b4be8ecad233754393ae7fdb15bf9fe,mavs-machine-test,Unclassified
35,cc5dce7c5492a55f49299daf87d17d0c,startup-rag,Unclassified
36,82ccc3243ba5d8d6718ed079b553b2d2,mibh,Unclassified
37,9f8d68b6eb22687a95f2f0da0b918a4f,swipe-play-discover,Games and toys
38,5437113d04630931411fd0ad1b4ac0a0,my-portfolio,Site and portfolio
39,07816fa6bd9747ab6391bd55a14198f1,paginaqualivercopia,Unclassified
40,5430488a622d884067e4431396647fc2,ascend-protocol,Unclassified
41,cbfc7ac564b0e87b1dec4adacb44b41f,app_gestao_de_obras,Unclassified
42,81f100c50685d08f2532b90c84a581d2,flexi_new,Unclassified
43,97b9106423263818487fecdd528cb9bb,plumbersnorwalkct,Property and home
44,5e3558f81368f72012665461580489f4,metric-mind-flow,Unclassified
45,8a8729afd9135f336bc56021e91650f4,f2p-dashboard-the-real-one,Trackers and dashboards
46,bfe99fc89d79a1eb758d68d256a7efc4,bv-public-frontend-,Unclassified
47,52b8c2b722d0ce9d18f549d17e2068b2,geosentinel-safety-ai,AI and chatbots
48,6744a4921d11f805d6b0e02c111a2314,aura,Generic or brand-style name
49,2b09c7be4006bf1666179d9daf7b85ff,vision-sentinel-system,Unclassified
50,ad0c9d24a8e4f35331f87ef8d888d897,dollyparton,Unclassified
