item_id,repo_slug,task,model,prompt_version,label,reason,input_tokens,output_tokens,usd,called_utc
52cc42cb3f2a0cf53f7b080cb112fa7b,heartwise-detectron-main,maker,claude-sonnet-5,2,Cannot tell from the evidence,"'-main' suffix is export artifact, not evidence of maker's background",1098,46,0.002656,2026-09-13T08:06:51Z
1e646c0e443b72405573d8e6a6b19582,auto-tube-alchemy,maker,claude-sonnet-5,2,Cannot tell from the evidence,"Bare product name; no developer, agency, or non-programmer signals present.",1098,46,0.002656,2026-09-13T08:06:53Z
fe4ba31069b8dd6c0df3620e603a0c38,hanseweb-agency,maker,claude-sonnet-5,2,Looks made by someone technical but not a professional developer,"'agency' with web-focused name suggests a web development agency, not a developer.",1096,52,0.002712,2026-09-13T08:06:55Z
b28b33edc9aade97f7fbed2a6d05e569,fintelmannd,maker,claude-sonnet-5,2,Cannot tell from the evidence,"Digital marketing/paid traffic business, not technical per rule 3.",1134,46,0.002728,2026-09-13T08:06:57Z
ef4261ff9e82c84efe40c74c241acb97,pcm-connect,maker,claude-sonnet-5,2,Cannot tell from the evidence,"Bare product name, no developer or agency descriptors present.",1094,41,0.002598,2026-09-13T08:06:59Z
8e2f2a5fb5abbc2a973034528ced401a,paris-event-connect,maker,claude-sonnet-5,2,Cannot tell from the evidence,"Bare product name; no developer, agency, or non-programmer signals present.",1095,46,0.002650,2026-09-13T08:07:01Z
38ec3c3f6cd1e053404bd9937cb28d79,878787878,maker,claude-sonnet-5,2,Cannot tell from the evidence,Numeric name with no descriptive or professional signals present.,1092,42,0.002604,2026-09-13T08:07:03Z
c282c4622ec7a33febb5e1dc797462a7,delivery-notes-hub-38,maker,claude-sonnet-5,2,Cannot tell from the evidence,"Bare product name with numeric suffix, an export artefact, no role evidence.",1099,48,0.002678,2026-09-13T08:07:05Z
6227e59176d45f25a3364f244947370e,ratesongs,maker,claude-sonnet-5,2,Cannot tell from the evidence,"Bare product name, no developer or technical signals present.",1093,39,0.002576,2026-09-13T08:07:06Z
effdcfe3181c7fd771917e2d80680514,anti-malware,maker,claude-sonnet-5,2,Cannot tell from the evidence,"Bare product name, no developer or agency signals present.",1093,39,0.002576,2026-09-13T08:07:09Z
50c599df1b77c1ff9899d3d14e13d8a3,idea-path,maker,claude-sonnet-5,2,Cannot tell from the evidence,"Bare product name, no developer, agency, or technical descriptors present.",1092,45,0.002634,2026-09-13T08:07:13Z
e2e462fa0d886f53dbeeed136b05946f,play-easy-games,maker,claude-sonnet-5,2,Cannot tell from the evidence,"Bare product name, no developer or technical role indicated.",1094,40,0.002588,2026-09-13T08:07:14Z
a17965f5a0d79012a8905cc52313e297,simuladosmart,maker,claude-sonnet-5,2,Cannot tell from the evidence,"Bare product name describing exam platform, no developer or technical role indicated.",1121,46,0.002702,2026-09-13T08:07:16Z
7f33b91d37323442c1840c55734828fa,loanapp_version1,maker,claude-sonnet-5,2,Cannot tell from the evidence,"Bare product name with version suffix, no professional or technical markers present.",1095,44,0.002630,2026-09-13T08:07:18Z
