position,repo_id,repo_slug,stratum_cell
1,52cc42cb3f2a0cf53f7b080cb112fa7b,heartwise-detectron-main,0.0
2,1e646c0e443b72405573d8e6a6b19582,auto-tube-alchemy,0.0
3,fe4ba31069b8dd6c0df3620e603a0c38,hanseweb-agency,0.0
4,b28b33edc9aade97f7fbed2a6d05e569,fintelmannd,0.0
5,ef4261ff9e82c84efe40c74c241acb97,pcm-connect,1.0
6,8e2f2a5fb5abbc2a973034528ced401a,paris-event-connect,0.0
7,38ec3c3f6cd1e053404bd9937cb28d79,878787878,0.0
8,c282c4622ec7a33febb5e1dc797462a7,delivery-notes-hub-38,1.0
9,6227e59176d45f25a3364f244947370e,ratesongs,0.0
10,effdcfe3181c7fd771917e2d80680514,anti-malware,0.0
11,50c599df1b77c1ff9899d3d14e13d8a3,idea-path,1.0
12,e2e462fa0d886f53dbeeed136b05946f,play-easy-games,(blank)
13,a17965f5a0d79012a8905cc52313e297,simuladosmart,1.0
14,7f33b91d37323442c1840c55734828fa,loanapp_version1,0.0
15,27c1f3457b556129dfc4d4a7e7216af3,sts-mcs,0.0
16,025b8bb1ece57463f0e87ba8808fa761,s-n_events,1.0
17,8f6ab492ab77561788873e0e6987cf68,cogniwell-aid,1.0
18,0420e7b3bd77c46111bc31eb4f02cae0,the-art-gallery-of-nairobi,0.0
19,06647ad253baf9bcfc8e5b4b437f42e4,car-hire-repo,0.0
20,a00d2560ed7d57a6755750029a927022,life-track-zenith-view,0.0
21,9c96b3fb88623f0074b9fca610247d42,newby-tech-solutions,0.0
22,042649eda305e3b9b16b9cefa4c11b4b,town-connect-events,0.0
23,d0744cb13b2ab3bc58722a70fbc398e0,sea--of--glass,0.0
24,f2511d77b8ebf2da18dec8da6b540927,bondflow-visualizer,0.0
25,6394b1879a488d2f6f6a48c94f9caedb,automeet,0.0
26,95d4851e4e02447b2ddf5c74ff682575,warm-mind-hug,0.0
27,04117d71e96fc0b93882eeedfc830910,dt-forum2026,0.0
28,29a515be5549ea68a36a8af4cf8f0de2,notion-page-reader-buddy,1.0
29,2b7948c4faa39585b005828f9052b000,gala-pera,0.0
30,af91a1492a4d9d402b763714c9a39142,class-buddy-notify-03,0.0
31,bd95393005aab70f922db7038fe74aad,sarthak-ux-canvas,0.0
32,d8e1b658703cda3f999e1bd4ab67e9a1,marswiese-smart-coach,0.0
33,8d11dc1fd085d7074abbc02326376c68,infomationslip,0.0
34,24a724ffe6fab775bf6361c1167d4679,opgrid-app,0.0
35,2cbfb2579515dc5f98f8137fe200eb2c,bombanova,0.0
36,76494da894af09cc2896f71827fac888,chat,0.0
37,ccadce77b40a0726bb1ee3e41733fa53,wrapture,0.0
38,cc8bb51d1c0bf857974bf2386073e5d0,saai-energy-unleashed,0.0
39,35bf3addbe76952095dd0d5c8c618538,springy-crafts-hub,0.0
40,55dc7ca56c8ed26857ccc80903f41ee7,my-portfolio-hub,0.0
41,9b7d86a079df69539d6b2461578baef7,radiant-design-refresh,0.0
42,2ee3c56273aef05943464dc0bb9874e5,ascend-productivity-suite-main,0.0
43,12c4e2a24240730388af7fd6848d750a,hub-complaint-fixer,0.0
44,6c352f8b2da0b8fd509c16e354f29d62,warm-connect,0.0
45,4fde520cb27623333400c1068b5ea9e5,shreebalajicctv,1.0
46,dc8cdbc683b1426c34aad279d69767d1,niche-galaxy-portal-view,0.0
47,4a01f4c5f75738e2d55df3f06e761cd6,saptashringa,1.0
48,41f8a28bac50bd2b27a118045f0c742a,cl-nica-conecta,0.0
49,37ecb9ced364ecfe3da92507576c1091,kasavilevari,(blank)
50,21facc9deb2c15a0916674aaa6809f1d,interview-coach-ai,1.0
