position,repo_id,repo_slug,stratum_cell
1,fa7cb1130c4a09cd8966520eb003df4f,money-wise-financetracker,Money and admin
2,38a55b84d2cd12d64b37aa6d2a2064b9,local-zen-chat,Community and events
3,e6e2c0695c94283b899a1efcb1ebd23b,holy-child,Unclassified
4,e005e847e82b61f30cc4bae0e8a8c2e5,clever-ai-toolkit-wizard,AI and chatbots
5,9daf36b85c99f38c59e2afc94b7f37c2,opzet-3d-website,Site and portfolio
6,1a40caf8fe8e3f3df3bb8814f1dab04e,hack-nation-challenge-10,Unclassified
7,a9cbdba39442bf26e67a569adbc2522e,marble-drop-draw,Creative and media
8,1f4162c1a602efba02fe1f4831051435,tamra-ritual-design,Creative and media
9,250c39ae11ba44ca4daa3268c619e342,chess-life-strategy,Games and toys
10,be4a969ee73a3d372fa967c3f689276c,guest-wiz,Unclassified
11,0bd21213e5e5e4fa5e17c68a9e2a22c6,knutsford-record-keeper,Unclassified
12,40eee3cde2ebc8a2851a2045cef292f0,oeuvres---vs,Unclassified
13,b113af29e981331fd6aff79258c559c5,keyless-door-app,Unclassified
14,7aa0fa6df80f01333c4cdec911638239,ay-mdu-cab,Unclassified
15,cadd230d356c616509f5693233b93732,dopaminaacai-cardapio,AI and chatbots
16,7a5d02ab8871d8ae1ad2e82067f93609,keat-hong-seniors-connect,Unclassified
17,ef214a545e3e9637bbda57487ece8339,straightforward-import,Unclassified
18,1116481b765b3ee0e0502f6df594f5fd,prototipo-visual-app,Creative and media
19,af3139cbf9126c1f4272776806a38983,clinic-buddy-chat,Health and fitness
20,d73635b6349ee127778fb9fbdcaf5c69,nexabot-clone-buddy,Unclassified
21,4532086c666e1219b0cb376d1609747d,kami-scribe-web,Unclassified
22,89ae4192164c51b32cfa5f89127d3a67,[owner]m_portfolio,Site and portfolio
23,8bebe05701b723563bf8ca96cca8f949,bar-stock-shine,Unclassified
24,b63413ccc4f982f3169c821fadd75786,ai-sphere-dash,Trackers and dashboards
25,d6c271eb6b5ac740645bc7c8923d8e30,windsurf,Unclassified
26,62f8ddcbcc1fdcd7390a85da3abdf4af,baridi-exam-preparation,Learning and study
27,52c3a39403ebde2f70e4d6ccee6bb615,elife-reg-app-4905,Unclassified
28,1c505867e6ee598669fccf127b89bece,elevate-jobs-hub,Unclassified
29,a2e3d6b02dfd083525971f554f583829,ar-condicionado,Unclassified
30,0156dd313e199412f48e926a19b93ebe,gdgsynergic,Unclassified
31,826ce0bf4c0f306f160d031ac31cc6b3,questopiar,Unclassified
32,578e52c38ac72a68042d7f0a10e7f7a2,gen-a-vision,Unclassified
33,72458d083a6537c4754f7fa204d25981,openfrontier,Unclassified
34,83303658b6f18d9b16da1635fffa0600,rihlatul-hudah-hub,Unclassified
35,d2dbfa4a52359f0ef3d135fe01c6d168,fabri-korea-connect-global,Unclassified
36,187312a78dc6ac1a67ff7d5a9da0bc4e,koora-live-now,Unclassified
37,48b7ecde89717cb5fb9c332199f2fa48,meetwise-seascapes,Unclassified
38,a171aefb142eda06c744b43e0d9056a8,skiwix-launchpad,Unclassified
39,6015cf2f8b080309d2c7abed89c7d7c4,modelai-hub,AI and chatbots
40,ee199c59a5b3acbfe9f3e4ddc3ec60f0,catho,Unclassified
41,cd1fa117c645b0e413a784dd9b685ec9,motion-marketing-magic-d547d734,Shop and commerce
42,688167652808cefef101013ab411e1e7,creem-plan-pro,Planning and productivity
43,6211c8cbddbf7ebe5f0f22b7ee6e7b78,aiss-plumbing,Property and home
44,0879c9ae77223b59972f6c1494ecd953,site-internet-[owner],Site and portfolio
45,5a5db54f4f6228839b78ae1d17929077,puckpedia-insights,Trackers and dashboards
46,41437de9dd06316ed0e47b44c0f2ff44,chat-agency-hub,Business and clients
47,7f9ab9d209951d04706803a72e373582,sentiment-scan-ninja,Unclassified
48,cc6ca749d55b9e097f9f0ae85108628f,projetojarvisdenis,Unclassified
49,014c9283380bb4dd3345b017eeee4824,dotcasting-app,Unclassified
50,5bf432825df7c23d2f7a8945a9b7dec1,test-echo,Generic or brand-style name
