repo_id,repo_slug,cell,task,model,prompt_version,label,reason,input_tokens,output_tokens,usd,called_utc
eb9b7b17b9e373d48ef90807f1fa27d1,person-score-lookup,Unclassified,audience,claude-sonnet-5,3,Cannot tell from the name,"Generic lookup tool name, no business or community indicated.",14,39,0.000418,2026-09-13T08:30:09Z
58c28f9e1f9c1404b9d4287aed4d9280,tranquil-portfolio,Site and portfolio,audience,claude-sonnet-5,3,Cannot tell from the name,"Personal portfolio site, promotes a person, neither sector by itself",16,44,0.000472,2026-09-13T08:30:09Z
b9b1dcbe0e70b10d7e99ea61c3489efd,funda-resume-craft,Business and clients,audience,claude-sonnet-5,3,Cannot tell from the name,"Personal resume/CV builder app, no business or community indicated",15,41,0.000440,2026-09-13T08:30:09Z
4d79dce0d575105163f2c8b40b1d7b13,zawa-studio-e-commerce,Creative and media,audience,claude-sonnet-5,3,"Producer sector: for a business, clients or paying customers",'studio' and 'e-commerce' indicate a business selling products to customers,19,54,0.000578,2026-09-13T08:30:09Z
5ceeff81e639863e2f6397abd433b1a5,prowordlz-model-website-yuvashree,Site and portfolio,audience,claude-sonnet-5,3,Cannot tell from the name,"Ambiguous personal project name, no clear business or community indicator",22,42,0.000464,2026-09-13T08:30:11Z
4f95c5a86ebfced316dba9cd3e080947,cam-location-keeper,Unclassified,audience,claude-sonnet-5,3,Cannot tell from the name,"No business, community, or personal indicators; appears to be a technical/research tool.",31,45,0.000512,2026-09-13T08:30:11Z
8ba9574398e99b51e6ff1e5863fecdaf,evidence-vault-query,Unclassified,audience,claude-sonnet-5,3,Cannot tell from the name,"Generic evidence storage/query tool, no business or community indicated.",15,42,0.000450,2026-09-13T08:30:11Z
fa1cbd4782479f9d2d4b98ef05579ec9,webauditreporter,Unclassified,audience,claude-sonnet-5,3,"Producer sector: for a business, clients or paying customers",Audit reporting tool implies a service delivered to clients or businesses,13,52,0.000546,2026-09-13T08:30:11Z
07ea745b8fdc3cc3a466cfdc9a047b9e,turing_machine,Unclassified,audience,claude-sonnet-5,3,Cannot tell from the name,"Generic technical/demo project name, no business or community indicated",12,40,0.000424,2026-09-13T08:30:13Z
95b1481389d9cb23cffabddd2ad1fbf1,step-up-style-2585805f-main,Unclassified,audience,claude-sonnet-5,3,Cannot tell from the name,"Generic auto-generated project name, no business or community indicator present.",29,41,0.000468,2026-09-13T08:30:13Z
