repo_id,repo_slug,cell,task,model,prompt_version,label,reason,input_tokens,output_tokens,usd,called_utc
58c28f9e1f9c1404b9d4287aed4d9280,tranquil-portfolio,Site and portfolio,kind,claude-sonnet-5,3,Site and portfolio,Word 'portfolio' directly names a personal site or portfolio.,16,42,0.000452,2026-09-13T08:22:05Z
eb9b7b17b9e373d48ef90807f1fa27d1,person-score-lookup,Unclassified,kind,claude-sonnet-5,3,Utilities and converters,"""lookup"" names a tool for retrieving scores, a utility function.",14,44,0.000468,2026-09-13T08:22:05Z
4d79dce0d575105163f2c8b40b1d7b13,zawa-studio-e-commerce,Creative and media,kind,claude-sonnet-5,3,Shop and commerce,Words 'e-commerce' and 'studio' name an online shop/commerce project.,19,46,0.000498,2026-09-13T08:22:05Z
b9b1dcbe0e70b10d7e99ea61c3489efd,funda-resume-craft,Business and clients,kind,claude-sonnet-5,3,Site and portfolio,Resume-craft names a personal CV or resume building tool,15,39,0.000420,2026-09-13T08:22:05Z
8ba9574398e99b51e6ff1e5863fecdaf,evidence-vault-query,Unclassified,kind,claude-sonnet-5,3,Utilities and converters,"Vault and query suggest a document search/storage tool, no clear domain.",15,42,0.000450,2026-09-13T08:22:06Z
5ceeff81e639863e2f6397abd433b1a5,prowordlz-model-website-yuvashree,Site and portfolio,kind,claude-sonnet-5,3,Site and portfolio,"Named for a person (yuvashree), model website suggests a personal portfolio site",22,45,0.000494,2026-09-13T08:22:06Z
4f95c5a86ebfced316dba9cd3e080947,cam-location-keeper,Unclassified,kind,claude-sonnet-5,3,Cannot tell,"Name suggests camera/location tool but title is unrelated brick study, unclear purpose",31,47,0.000532,2026-09-13T08:22:07Z
fa1cbd4782479f9d2d4b98ef05579ec9,webauditreporter,Unclassified,kind,claude-sonnet-5,3,Utilities and converters,"""audit reporter"" suggests a scanning/reporting tool, a system utility.",13,48,0.000506,2026-09-13T08:22:07Z
95b1481389d9cb23cffabddd2ad1fbf1,step-up-style-2585805f-main,Unclassified,kind,claude-sonnet-5,3,Cannot tell,"Generic build-name with no clear purpose words, plus placeholder title.",29,42,0.000478,2026-09-13T08:22:09Z
c55cca133fba7cac567562492bc2e257,lucia-piccardo-smile-design,Creative and media,kind,claude-sonnet-5,3,Beauty and fashion,"Smile design suggests cosmetic dental aesthetics, treated as beauty-related work",37,50,0.000574,2026-09-13T08:22:09Z
37d8d0821f7eaa9bbe1104f61a36bd32,synchro-design-studio-97,Creative and media,kind,claude-sonnet-5,3,Creative and media,'Design studio' names a creative media studio; title is generic builder placeholder.,27,42,0.000474,2026-09-13T08:22:09Z
07ea745b8fdc3cc3a466cfdc9a047b9e,turing_machine,Unclassified,kind,claude-sonnet-5,3,Cannot tell,"Generic computer science term, no clear application domain named.",12,34,0.000364,2026-09-13T08:22:09Z
3d630237d3f7acf8a9836b8e902d8354,mei-gestao-digital,Unclassified,kind,claude-sonnet-5,3,Business and clients,'Gestao digital' (digital management) reads as a company's own business/agency site.,16,43,0.000462,2026-09-13T08:22:10Z
acd2a56e6191a626350dcfc15b626acb,creator-adgen,Unclassified,kind,claude-sonnet-5,3,Creative and media,"'Creator' and 'adgen' suggest content/ad generation for creators, a creative tool.",13,49,0.000516,2026-09-13T08:22:11Z
29b51b09b4fc2ff84ce7e9ad49f00cd9,robomaq-spark,Unclassified,kind,claude-sonnet-5,3,Cannot tell,"Name gives no clear domain words, just abstract branding-like terms.",14,40,0.000428,2026-09-13T08:22:11Z
