label,count,share,wilson_lo,wilson_hi
Cannot tell,254,25.4,22.8,28.2
Business and clients,81,8.1,6.6,10.0
Creative and media,61,6.1,4.8,7.8
Utilities and converters,54,5.4,4.2,7.0
Site and portfolio,53,5.3,4.1,6.9
Health and fitness,53,5.3,4.1,6.9
Learning and study,48,4.8,3.6,6.3
Trackers and dashboards,47,4.7,3.6,6.2
Money and admin,37,3.7,2.7,5.1
AI and chatbots,37,3.7,2.7,5.1
Shop and commerce,36,3.6,2.6,4.9
Games and toys,29,2.9,2.0,4.1
Generic or brand-style name,28,2.8,1.9,4.0
Community and events,24,2.4,1.6,3.5
Food and drink,23,2.3,1.5,3.4
Property and home,22,2.2,1.5,3.3
Planning and productivity,21,2.1,1.4,3.2
Travel and hospitality,21,2.1,1.4,3.2
Logistics and transport,18,1.8,1.1,2.8
Faith and culture,13,1.3,0.8,2.2
Jobs and careers,11,1.1,0.6,2.0
Sport and outdoors,10,1.0,0.5,1.8
News and information,8,0.8,0.4,1.6
Pets and animals,6,0.6,0.3,1.3
Beauty and fashion,5,0.5,0.2,1.2
