task,model,prompt_version,split,n,agree,agreement,wilson_lo,wilson_hi,kappa,n_firm,agree_firm,agreement_firm,missing,usd,mean_dev_agreement,min_fold_agreement,passes,accepted
audience,claude-sonnet-5,1,working 40 pooled,40,20,0.5,0.35199278797099753,0.6480072120290025,0.1397849462365592,23,5,0.21739130434782608,0,0.0794,0.5,0.4,False,
audience,claude-sonnet-5,2,working 40 pooled,40,29,0.725,0.5716474916687543,0.8389214656685692,0.522258414766558,23,13,0.5652173913043478,0,0.1059,0.725,0.6,False,
audience,claude-sonnet-5,3,working 40 pooled,40,31,0.775,0.6249660359590695,0.8768404674532148,0.6008869179600888,23,14,0.6086956521739131,0,0.1464,0.775,0.7,False,
audience,claude-sonnet-5,3,sealed 10 (selected version),10,5,0.5,0.23658959361548731,0.7634104063845126,0.21875000000000003,7,2,0.2857142857142857,0,,,,,"best available below the bar (D23): v1 0.50, v2 0.725, v3 0.775 mean dev agreement; v3 min fold 0.70"
kind,claude-sonnet-5,0,working 40 pooled,39,24,0.6153846153846154,0.45898781310078474,0.7510883745299295,0.586864406779661,38,23,0.6052631578947368,1,0.0000,0.6111111111111112,0.4444444444444444,False,
kind,claude-sonnet-5,1,working 40 pooled,40,21,0.525,0.37497106853929735,0.6706477044981831,0.4895903290799194,39,20,0.5128205128205128,0,0.1057,0.525,0.2,False,
kind,claude-sonnet-5,2,working 40 pooled,40,29,0.725,0.5716474916687543,0.8389214656685692,0.7043010752688172,39,28,0.717948717948718,0,0.2082,0.725,0.5,False,
kind,claude-sonnet-5,3,working 40 pooled,40,31,0.775,0.6249660359590695,0.8768404674532148,0.757085020242915,39,30,0.7692307692307693,0,0.2691,0.775,0.6,False,
kind,claude-sonnet-5,3,sealed 10 (selected version),10,3,0.3,0.10778928748621183,0.6032267800204347,0.2134831460674157,9,2,0.2222222222222222,0,,,,,"best available below the bar (D23): v0 0.60 (Sonnet 5 full run) and 0.375 (gpt-4.1-mini full run), v1 0.525, v2 0.725, v3 0.775 mean dev agreement; v3 min fold 0.60"
kind,gpt-4.1-mini,0,working 40 pooled,40,15,0.375,0.2422277353579172,0.529678399454681,0.33862433862433866,39,14,0.358974358974359,0,0.0000,0.375,0.2,False,
maker,claude-sonnet-5,1,working 40 pooled,40,28,0.7,0.545696893456796,0.8192532908430471,0.13669064748201407,11,2,0.18181818181818182,0,0.0946,0.7,0.5,False,
maker,claude-sonnet-5,2,working 40 pooled,40,33,0.825,0.6804970794560755,0.9125469700311694,0.4766355140186914,11,4,0.36363636363636365,0,0.1317,0.825,0.7,True,
maker,claude-sonnet-5,2,sealed 10 (selected version),10,6,0.6,0.3126695474501864,0.8318224187964902,0.0,4,0,0.0,0,,,,,accepted
namestyle,claude-sonnet-5,1,working 40 pooled,40,26,0.65,0.4950559699353738,0.7786566682895086,0.4666666666666667,31,21,0.6774193548387096,0,0.1126,0.65,0.5,False,
namestyle,claude-sonnet-5,2,working 40 pooled,40,32,0.8,0.6524239261814333,0.8950013502683314,0.6923076923076924,31,24,0.7741935483870968,0,0.1464,0.8,0.6,False,
namestyle,claude-sonnet-5,3,working 40 pooled,40,37,0.925,0.8013546984090248,0.9741644432281419,0.8842815814850531,31,29,0.9354838709677419,0,0.2145,0.925,0.8,True,
namestyle,claude-sonnet-5,3,sealed 10 (selected version),10,6,0.6,0.3126695474501864,0.8318224187964902,0.28571428571428575,7,4,0.5714285714285714,0,,,,,accepted
